"playerId","player","team","position","age","exp","bye","lower","upper","sdPts","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","games","points","vor","vorLow","vorHigh","overallRank","positionRank","ptsGame","vorGame","vorGameLow","vorGameHigh","adp","auctionValue","adpDiff","cost","ppdollar"
2556827,"Dom Williams","PHI","WR",27,1,10,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,NA,NA,NA,1,0
2556851,"Keyarris Garrett","CAR","WR",25,1,11,0,0,0,0,58,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.96,1,1533.04,1,0
2556882,"Jake Lampman","NO","WR",24,1,5,0,0,NA,0,59,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.99,NA,1533.01,1,0
2558071,"Isaiah Ford","MIA","WR",21,0,11,0,0,0,0,60,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.99,1,1533.01,1,0
2558095,"Malachi Dupre","FA","WR",22,0,NA,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.93,1,1533.07,1,0
2558254,"Robert Davis","FA","WR",22,0,NA,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.99,NA,1533.01,1,0
2558856,"David Moore","SEA","WR",22,0,6,0,0,0,0,61,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.97,1.67,1533.03,1,0
2558906,"Quincy Adeboyejo","FA","WR",NA,NA,NA,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.95,1,1533.05,1,0
2558912,"Victor Bolden","SF","WR",22,0,11,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,NA,NA,NA,1,0
2558928,"Austin Carr","FA","WR",24,0,NA,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.91,4.27,1533.09,3,0
2558950,"Keon Hatcher","OAK","WR",23,0,10,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.98,1,1533.02,1,0
2558993,"Fred Ross","CAR","WR",NA,0,11,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.92,3.85,1533.08,1,0
2559101,"Travin Dural","NO","WR",NA,0,5,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.97,NA,1533.03,1,0
2559170,"Amba Etta-Tawo","JAC","WR",24,0,8,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.98,1,1533.02,1,0
2559176,"Tanner Gentry","FA","WR",NA,0,NA,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.98,2,1533.02,1,0
2559235,"Brandon Reilly","BUF","WR",24,0,6,0,0,NA,0,62,0,NA,NA,NA,NA,NA,16,0,-116.514723449378,-99.5477537671356,-131.084176995057,1684,232,0,-7.28217021558614,-6.22173461044597,-8.19276106219108,150.99,1,1533.01,1,0
